frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
18,3.0,[1664.5603656405347 1.7984766532543972 3298.7681153024214 1446.642931517436],[2124.028564453125 1129.189208984375 2708.530517578125 1323.1253662109375],0.7081414461135864,PIH-611,0.9816717354300568
18,1.0,[200.3751031192678 117.02803418698107 1766.4296907896573 1117.570182159861],[439.93231201171875 875.56640625 821.833984375 1023.5262451171875],0.6910622715950012,EIACU-805,0.6880415794887551
19,1.0,[196.33147464854926 115.80841570273873 1762.99811407288 1115.7737438896054],[440.4590148925781 873.113525390625 818.8840942382812 1023.7582397460938],0.7049403786659241,WIACU-805,0.6833283957722096
20,1.0,[196.41841942407314 116.9029152002783 1762.5713040096225 1118.204972344401],[439.0088195800781 872.738525390625 818.6430053710938 1028.632080078125],0.6911659836769104,WIACU-805,0.6750530626281944
21,3.0,[1662.0080245591164 1.2665616382472535 3291.469982229939 1445.5789735535027],[2106.938232421875 1134.216064453125 2706.301025390625 1328.33837890625],0.7197899222373962,PIH-611,0.9038024741771297
22,3.0,[1663.3686025720745 1.6245566031241196 3289.1836246690673 1447.8799147095565],[2085.786865234375 1132.894775390625 2699.1337890625 1331.259521484375],0.7187950015068054,PIH-611,0.725262148763983
22,1.0,[187.5118621689213 120.03758135751298 1757.7288480013913 1119.36616891092],[435.7806701660156 877.6609497070312 810.2662353515625 1031.8582763671875],0.6859067678451538,ACU-805,0.4406361052107105
23,3.0,[1661.0384275022238 2.7413010215879012 3286.880828700156 1448.2960731903145],[2091.94580078125 1135.3580322265625 2697.984619140625 1337.4456787109375],0.7428350448608398,PIH-611,0.7121782616258878
23,1.0,[189.87516924095985 121.62419508247706 1759.3884345900008 1121.6313195969205],[431.8545227050781 878.1776733398438 805.03076171875 1030.95166015625],0.6864467859268188,EIACU-805,0.9312049354381623
24,3.0,[1661.879569188061 2.190560418494556 3285.0914298486546 1448.7768318082763],[2089.970947265625 1137.266357421875 2695.04248046875 1335.59375],0.7349989414215088,PIH-611,0.6355076400028611
24,1.0,[191.19746650139984 122.5375620165716 1760.4506206393949 1123.3909790984371],[432.4034729003906 879.4605102539062 801.2679443359375 1029.97265625],0.6893285512924194,EIACU-805,0.6142869750020767
25,3.0,[1660.396374997287 3.4656507035927007 3281.167792369145 1451.684224241996],[2083.38671875 1140.8980712890625 2687.91455078125 1333.47265625],0.7422312498092651,PIH-611,0.9485818980008035
25,1.0,[189.89203750525985 124.45697436063057 1759.4690234812128 1126.1873947930699],[428.0299072265625 880.2416381835938 803.59814453125 1031.2188720703125],0.6922028660774231,FIACU-805,0.391324191433844
