frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
74,1,328.2816072519687 113.5831785663317 1894.5532629307868 1136.8684032446065,596.8143310546875 881.3748779296875 994.8944091796875 1033.7918701171875,0.6898354887962341,EIACU-805,0.7250879372179565
75,1,341.27559871537915 114.98886813174386 1902.689724862224 1140.155488535511,602.573974609375 875.8056030273438 1005.4871215820312 1038.9437255859375,0.7010901570320129,EIACU-805,0.7317623130745846
76,1,353.8083350744684 115.91864997000238 1911.151697846011 1141.799311100663,616.4425659179688 876.3214721679688 1018.1282653808594 1040.5682983398438,0,0,0
77,1,366.34107143355766 116.8484318082609 1919.6136708297981 1143.4431336658154,630.3111572265625 876.8373413085938 1030.7694091796875 1042.19287109375,0.7195298075675964,HIACU-805,0.43522596647680756
78,1,373.80570431807246 116.61004989499406 1924.6172545403233 1144.2534306997436,644.5479125976562 876.9819946289062 1038.0718994140625 1046.2633056640625,0.7214922904968262,FIACU-805,0.3164098289516563
79,1,381.43843435761266 118.22825870119459 1929.4604115938278 1147.263594973843,650.4621175130209 883.5613606770834 1047.3292643229167 1047.9600423177083,0,0,0
80,1,389.07116439715287 119.84646750739512 1934.3035686473322 1150.2737592479427,656.3763224283854 890.1407267252604 1056.5866292317708 1049.6567789713542,0,0,0
81,1,396.7038944366931 121.46467631359565 1939.1467257008367 1153.2839235220422,662.29052734375 896.7200927734375 1065.843994140625 1051.353515625,0.709063708782196,EIACU-805,0.6288518283999928
82,1,405.8828085418963 123.46419413855403 1946.3315222372978 1156.6705907523256,675.0658569335938 901.4064636230469 1077.857421875 1052.8576049804688,0,0,0
83,1,415.0617226470995 125.46371196351242 1953.516318773759 1160.057257982609,687.8411865234375 906.0928344726562 1089.870849609375 1054.3616943359375,0.7019262909889221,HIACU-805,0.5772528987156993
84,1,424.546684584524 128.17990693696765 1959.1679103708425 1163.3630758520615,701.1650390625 911.940673828125 1097.5257568359375 1055.2811279296875,0.6773137450218201,FIACU-805,0.45187374681686404
